Date,Latitude,Longitude,Species,abundance_m2,abundance_log
1996-01-29,32.95,-117.3,Thysanoessa spinifera - All phases and stages,2.17,0.7747271675523681
1996-01-30,32.917,-117.4,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-01-30,32.85,-117.53299999999999,Thysanoessa spinifera - All phases and stages,7.666,2.0367949669583636
1996-01-30,32.683,-117.867,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-01-30,32.516999999999996,-118.21700000000001,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-01-30,32.35,-118.55,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-01-31,32.183,-118.9,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-01-31,32.016999999999996,-119.23299999999999,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-01-31,31.85,-119.56700000000001,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-01-31,31.517,-120.25,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-01,31.183000000000003,-120.917,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-03,31.75,-121.31700000000001,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-04,32.917,-118.93299999999999,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-04,32.65,-119.48299999999999,Thysanoessa spinifera - All phases and stages,8.972999999999997,2.1942200683159205
1996-02-04,32.417,-119.96700000000001,Thysanoessa spinifera - All phases and stages,14.052999999999999,2.642835896118608
1996-02-04,32.083,-120.633,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-05,33.883,-118.48299999999999,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-05,33.817,-118.633,Thysanoessa spinifera - All phases and stages,20.195,3.005435049015376
1996-02-05,33.483000000000004,-117.76700000000001,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-05,33.417,-117.9,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-05,33.25,-118.25,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-05,33.183,-118.383,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-06,33.65,-118.96700000000001,Thysanoessa spinifera - All phases and stages,17.375999999999998,2.855089943751525
1996-02-06,33.483000000000004,-119.31700000000001,Thysanoessa spinifera - All phases and stages,46.2,3.832979798087693
1996-02-06,33.317,-119.667,Thysanoessa spinifera - All phases and stages,26.396,3.273212483521175
1996-02-06,33.15,-120.0,Thysanoessa spinifera - All phases and stages,39.896,3.6862760682438216
1996-02-06,32.983000000000004,-120.35,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-07,32.65,-121.03299999999999,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-07,31.983,-122.4,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-09,33.25,-121.45,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-09,32.917,-122.133,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-10,33.883,-120.133,Thysanoessa spinifera - All phases and stages,564.0419999999998,6.335128716810555
1996-02-10,33.75,-120.417,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-10,33.583,-120.75,Thysanoessa spinifera - All phases and stages,385.00800000000004,5.953264113292678
1996-02-11,34.45,-120.51700000000001,Thysanoessa spinifera - All phases and stages,40.099000000000004,3.6913513963457145
1996-02-11,34.317,-120.8,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-11,34.15,-121.15,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-11,34.283,-120.03299999999999,Thysanoessa spinifera - All phases and stages,811.189,6.698501072587188
1996-02-11,34.233000000000004,-119.417,Thysanoessa spinifera - All phases and stages,3.7969999999999997,1.3342112812496651
1996-02-11,34.183,-119.5,Thysanoessa spinifera - All phases and stages,608.007,6.410186395057786
1996-02-12,33.817,-121.85,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-14,35.083,-120.78299999999999,Thysanoessa spinifera - All phases and stages,257.64,5.55156326167869
1996-02-14,35.016999999999996,-120.917,Thysanoessa spinifera - All phases and stages,373.51099999999997,5.922947455277081
1996-02-14,34.883,-121.2,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-02-14,34.717,-121.55,Thysanoessa spinifera - All phases and stages,96.495,4.569491193531073
1996-04-15,32.95,-117.3,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-15,32.917,-117.4,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-15,32.85,-117.53299999999999,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-15,32.683,-117.867,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-16,32.516999999999996,-118.21700000000001,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-16,32.35,-118.55,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-16,32.183,-118.9,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-16,32.016999999999996,-119.23299999999999,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-16,31.85,-119.56700000000001,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-17,31.517,-120.25,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-19,31.416999999999998,-122.0,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-20,32.083,-120.633,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-20,31.75,-121.31700000000001,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-21,33.183,-118.383,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-21,32.917,-118.93299999999999,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-22,33.883,-118.48299999999999,Thysanoessa spinifera - All phases and stages,4.205,1.4362742934249113
1996-04-22,33.833,-118.633,Thysanoessa spinifera - All phases and stages,232.22400000000002,5.447702423095727
1996-04-22,33.65,-118.98299999999999,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-22,33.483000000000004,-117.76700000000001,Thysanoessa spinifera - All phases and stages,1e-08,-18.420680743952367
1996-04-22,33.417,-117.9,Thysanoessa spinifera - All phases and stages,11.772,2.4657238303712266
1996-04-22,33.25,-118.25,Thysanoessa spinifera - All phases and stages,2.5660000000000003,0.9423482661934448
1996-04-23,33.483000000000004,-119.31700000000001,Thysanoessa spinifera - All phases and stages,55.346000000000004,4.013604389153892
